
Getting data from wss://ptmessaging-eu1bc.prd.jifeline.cloud/ptmessaging/b71d5fb8-840d-4641-ba7f-c2d5574cdec4?bufferSize=1000&amp;useArrayFormat=true
16:22:54.899 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [EOBD] cmd[0x5000] args[0x07EB,0x00,0x00,0x00] data[0x41208001A001]
16:22:54.900 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [EOBD] cmd[0x5000] args[0x07EA,0x00,0x00,0x00] data[0x41208001A001]
16:22:55.045 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [EOBD] cmd[0x5000] args[0x07EE,0x00,0x00,0x00] data[0x4140C40C0001]
16:22:55.046 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [EOBD] cmd[0x5000] args[0x07EB,0x00,0x00,0x00] data[0x4140C40C0021]
16:22:55.047 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [EOBD] cmd[0x5000] args[0x07EA,0x00,0x00,0x00] data[0x4140C4CC0021]
16:22:55.047 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [EOBD] cmd[0x5000] args[0x07E8,0x00,0x00,0x00] data[0x41407E1C8C15]
16:22:55.195 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [EOBD] cmd[0x5000] args[0x07EE,0x00,0x00,0x00] data[0x416008000001]
16:22:55.199 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [EOBD] cmd[0x5000] args[0x07E8,0x00,0x00,0x00] data[0x416060800041]
16:22:55.199 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [EOBD] cmd[0x5000] args[0x07EA,0x00,0x00,0x00] data[0x416008000001]
16:22:55.200 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [EOBD] cmd[0x5000] args[0x07EB,0x00,0x00,0x00] data[0x416000000001]
16:22:55.345 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [EOBD] cmd[0x5000] args[0x07EE,0x00,0x00,0x00] data[0x418000000040]
16:22:55.346 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [EOBD] cmd[0x5000] args[0x07EA,0x00,0x00,0x00] data[0x418002000041]
16:22:55.346 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [EOBD] cmd[0x5000] args[0x07E8,0x00,0x00,0x00] data[0x41800204000C]
16:22:55.347 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [EOBD] cmd[0x5000] args[0x07EB,0x00,0x00,0x00] data[0x418000000040]
16:22:55.496 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [EOBD] cmd[0x5000] args[0x07EA,0x00,0x00,0x00] data[0x41A004000000]
16:22:55.574 | [Remote]-&gt;[Local] TPCONF =&gt; mod[ALL] [FRAMEWORK] cmd[0xF004] args[0x02,0x00,0x01,0x03] data[0x]
16:22:55.646 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [EOBD] cmd[0x5000] args[0x07EE,0x00,0x00,0x00] data[0x410100040000]
16:22:55.648 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [EOBD] cmd[0x5000] args[0x07EA,0x00,0x00,0x00] data[0x410100040000]
16:22:55.649 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [EOBD] cmd[0x5000] args[0x07EB,0x00,0x00,0x00] data[0x410100040000]
16:22:55.649 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [EOBD] cmd[0x5000] args[0x07E8,0x00,0x00,0x00] data[0x41010007A100]
16:22:55.795 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [EOBD] cmd[0x5000] args[0x07EE,0x00,0x00,0x00] data[0x4300]
16:22:55.796 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [EOBD] cmd[0x5000] args[0x07EA,0x00,0x00,0x00] data[0x4300]
16:22:55.796 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [EOBD] cmd[0x5000] args[0x07E8,0x00,0x00,0x00] data[0x4300]
16:22:55.797 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [EOBD] cmd[0x5000] args[0x07EB,0x00,0x00,0x00] data[0x4300]
16:22:55.945 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [EOBD] cmd[0x5000] args[0x07EE,0x00,0x00,0x00] data[0x4700]
16:22:55.950 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [EOBD] cmd[0x5000] args[0x07EB,0x00,0x00,0x00] data[0x4700]
16:22:55.951 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [EOBD] cmd[0x5000] args[0x07E8,0x00,0x00,0x00] data[0x4700]
16:22:55.952 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [EOBD] cmd[0x5000] args[0x07EA,0x00,0x00,0x00] data[0x4700]
16:22:56.095 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [EOBD] cmd[0x5000] args[0x07EE,0x00,0x00,0x00] data[0x490015400000]
16:22:56.096 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [EOBD] cmd[0x5000] args[0x07EB,0x00,0x00,0x00] data[0x490015400000]
16:22:56.096 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [EOBD] cmd[0x5000] args[0x07E8,0x00,0x00,0x00] data[0x490055400000]
16:22:56.098 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [EOBD] cmd[0x5000] args[0x07EA,0x00,0x00,0x00] data[0x49001540078F]
16:22:56.256 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [EOBD] cmd[0x5000] args[0x07E8,0x00,0x00,0x00] data[0x490201564E4B4B42414333303041333336333839]
16:22:56.386 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x3E00] args[0x0700,0x00,0x00,0x00] data[0x023E000000000000]
16:22:56.394 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [EOBD] cmd[0x5000] args[0x07EE,0x00,0x00,0x00] data[0x4A00]
16:22:56.398 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [EOBD] cmd[0x5000] args[0x07EB,0x00,0x00,0x00] data[0x4A00]
16:22:56.545 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [EOBD] cmd[0x5000] args[0x07EE,0x00,0x00,0x00] data[0x410C0000]
16:22:56.546 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [EOBD] cmd[0x5000] args[0x07E8,0x00,0x00,0x00] data[0x410C0000]
16:22:56.546 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [EOBD] cmd[0x5000] args[0x07EA,0x00,0x00,0x00] data[0x410C0000]
16:22:56.547 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [EOBD] cmd[0x5000] args[0x07EB,0x00,0x00,0x00] data[0x410C0000]
16:22:56.576 | [Remote]-&gt;[Local] TPCONF =&gt; mod[ALL] [FRAMEWORK] cmd[0xF004] args[0x02,0x00,0x01,0x03] data[0x]
16:22:56.695 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [EOBD] cmd[0x5000] args[0x07EE,0x00,0x00,0x00] data[0x41422BE8]
16:22:56.697 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [EOBD] cmd[0x5000] args[0x07EA,0x00,0x00,0x00] data[0x41422C40]
16:22:56.697 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [EOBD] cmd[0x5000] args[0x07EB,0x00,0x00,0x00] data[0x41422902]
16:22:56.698 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [EOBD] cmd[0x5000] args[0x07E8,0x00,0x00,0x00] data[0x41422C05]
16:22:57.576 | [Remote]-&gt;[Local] TPCONF =&gt; mod[ALL] [FRAMEWORK] cmd[0xF004] args[0x02,0x10,0x01,0x03] data[0x]
16:22:58.012 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x3E00] args[0x07E2,0x00,0x00,0x00] data[0x013E000000000000]
16:22:58.577 | [Remote]-&gt;[Local] TPCONF =&gt; mod[ALL] [FRAMEWORK] cmd[0xF004] args[0x02,0x10,0x01,0x03] data[0x]
16:22:59.578 | [Remote]-&gt;[Local] TPCONF =&gt; mod[ALL] [FRAMEWORK] cmd[0xF004] args[0x02,0x32,0x02,0x03] data[0x]
16:22:59.729 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x3E00] args[0x07E0,0x00,0x00,0x00] data[0x013E000000000000]
16:23:00.579 | [Remote]-&gt;[Local] TPCONF =&gt; mod[ALL] [FRAMEWORK] cmd[0xF004] args[0x02,0x32,0x02,0x03] data[0x]
16:23:01.580 | [Remote]-&gt;[Local] TPCONF =&gt; mod[ALL] [FRAMEWORK] cmd[0xF004] args[0x02,0x32,0x02,0x03] data[0x]
16:23:01.593 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x3E00] args[0x07D2,0x00,0x00,0x00] data[0x023E000000000000]
16:23:02.581 | [Remote]-&gt;[Local] TPCONF =&gt; mod[ALL] [FRAMEWORK] cmd[0xF004] args[0x02,0x32,0x02,0x03] data[0x]
16:23:02.957 | [Server]-&gt;[Tracer] METADATA =&gt; key[ecu:channel:can:6-14-H-2:11-18:700-708:since] value[1758118982949 (2025-09-17 14:23:02.949)]
16:23:02.960 | [Remote]-&gt;[Local] TPCONF =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x3E7E] args[0x0700,0x0708,0x00,0x00] data[0x]
16:23:03.059 | [Server]-&gt;[Tracer] METADATA =&gt; key[ecu:channel:can:6-14-H-2:11-18:724-72C:since] value[1758118983052 (2025-09-17 14:23:03.052)]
16:23:03.060 | [Remote]-&gt;[Local] TPCONF =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x3E7E] args[0x0724,0x072C,0x00,0x00] data[0x]
16:23:03.166 | [Server]-&gt;[Tracer] METADATA =&gt; key[ecu:channel:can:6-14-H-2:11-18:747-74F:since] value[1758118983158 (2025-09-17 14:23:03.158)]
16:23:03.167 | [Remote]-&gt;[Local] TPCONF =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x3E7E] args[0x0747,0x074F,0x00,0x00] data[0x]
16:23:03.312 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x3E00] args[0x07E0,0x00,0x00,0x00] data[0x023E010000000000]
16:23:03.582 | [Remote]-&gt;[Local] TPCONF =&gt; mod[ALL] [FRAMEWORK] cmd[0xF004] args[0x02,0x42,0x02,0x03] data[0x]
16:23:04.584 | [Remote]-&gt;[Local] TPCONF =&gt; mod[ALL] [FRAMEWORK] cmd[0xF004] args[0x02,0x42,0x02,0x03] data[0x]
16:23:04.765 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x3E00] args[0x07E0,0x00,0x00,0x00] data[0x023E010000000000]
16:23:05.584 | [Remote]-&gt;[Local] TPCONF =&gt; mod[ALL] [FRAMEWORK] cmd[0xF004] args[0x02,0x42,0x02,0x03] data[0x]
16:23:06.164 | [Server]-&gt;[Tracer] METADATA =&gt; key[ecu:channel:canext:6-14-H-2:11-18:750-0F-758-0F:since] value[1758118986157 (2025-09-17 14:23:06.157)]
16:23:06.165 | [Remote]-&gt;[Local] TPCONF =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x3E7E] args[0x0750,0x0758,0x0F,0x0F] format[0x0200] data[0x]
16:23:06.261 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x3E00] args[0x07E0,0x00,0x00,0x00] data[0x023E000000000000]
16:23:06.585 | [Remote]-&gt;[Local] TPCONF =&gt; mod[ALL] [FRAMEWORK] cmd[0xF004] args[0x02,0x42,0x02,0x03] data[0x]
16:23:07.586 | [Remote]-&gt;[Local] TPCONF =&gt; mod[ALL] [FRAMEWORK] cmd[0xF004] args[0x02,0x42,0x02,0x03] data[0x]
16:23:07.937 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x3E00] args[0x07D2,0x00,0x00,0x00] data[0x013E000000000000]
16:23:08.587 | [Remote]-&gt;[Local] TPCONF =&gt; mod[ALL] [FRAMEWORK] cmd[0xF004] args[0x02,0x42,0x02,0x03] data[0x]
16:23:09.588 | [Remote]-&gt;[Local] TPCONF =&gt; mod[ALL] [FRAMEWORK] cmd[0xF004] args[0x02,0x42,0x02,0x03] data[0x]
16:23:09.798 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x3E00] args[0x07A2,0x00,0x00,0x00] data[0x023E000000000000]
16:23:10.589 | [Remote]-&gt;[Local] TPCONF =&gt; mod[ALL] [FRAMEWORK] cmd[0xF004] args[0x02,0x42,0x02,0x03] data[0x]
16:23:11.567 | [Server]-&gt;[Tracer] METADATA =&gt; key[ecu:channel:canext:6-14-H-2:11-18:750-29-758-29:since] value[1758118991559 (2025-09-17 14:23:11.559)]
16:23:11.567 | [Remote]-&gt;[Local] TPCONF =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x3E7E] args[0x0750,0x0758,0x29,0x29] format[0x0200] data[0x]
16:23:11.590 | [Remote]-&gt;[Local] TPCONF =&gt; mod[ALL] [FRAMEWORK] cmd[0xF004] args[0x02,0x42,0x02,0x03] data[0x]
16:23:11.767 | [Server]-&gt;[Tracer] METADATA =&gt; key[ecu:channel:canext:6-14-H-2:11-18:750-2A-758-2A:since] value[1758118991760 (2025-09-17 14:23:11.760)]
16:23:11.768 | [Remote]-&gt;[Local] TPCONF =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x3E7E] args[0x0750,0x0758,0x2A,0x2A] format[0x0200] data[0x]
16:23:11.954 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x3E00] args[0x0701,0x00,0x00,0x00] data[0x0210010000000000]
16:23:12.591 | [Remote]-&gt;[Local] TPCONF =&gt; mod[ALL] [FRAMEWORK] cmd[0xF004] args[0x02,0x42,0x02,0x03] data[0x]
16:23:13.592 | [Remote]-&gt;[Local] TPCONF =&gt; mod[ALL] [FRAMEWORK] cmd[0xF004] args[0x02,0x42,0x02,0x03] data[0x]
16:23:14.593 | [Remote]-&gt;[Local] TPCONF =&gt; mod[ALL] [FRAMEWORK] cmd[0xF004] args[0x02,0x42,0x02,0x03] data[0x]
16:23:15.595 | [Remote]-&gt;[Local] TPCONF =&gt; mod[ALL] [FRAMEWORK] cmd[0xF004] args[0x02,0x42,0x02,0x03] data[0x]
16:23:16.374 | [Server]-&gt;[Tracer] METADATA =&gt; key[ecu:channel:canext:6-14-H-2:11-18:750-40-758-40:since] value[1758118996366 (2025-09-17 14:23:16.366)]
16:23:16.374 | [Remote]-&gt;[Local] TPCONF =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x3E7E] args[0x0750,0x0758,0x40,0x40] format[0x0200] data[0x]
16:23:16.595 | [Remote]-&gt;[Local] TPCONF =&gt; mod[ALL] [FRAMEWORK] cmd[0xF004] args[0x02,0x42,0x02,0x03] data[0x]
16:23:17.596 | [Remote]-&gt;[Local] TPCONF =&gt; mod[ALL] [FRAMEWORK] cmd[0xF004] args[0x02,0x42,0x02,0x03] data[0x]
16:23:18.408 | [Server]-&gt;[Tracer] METADATA =&gt; key[ecu:channel:canext:6-14-H-2:11-18:750-4A-758-4A:since] value[1758118998400 (2025-09-17 14:23:18.400)]
16:23:18.409 | [Remote]-&gt;[Local] TPCONF =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x3E7E] args[0x0750,0x0758,0x4A,0x4A] format[0x0200] data[0x]
16:23:18.597 | [Remote]-&gt;[Local] TPCONF =&gt; mod[ALL] [FRAMEWORK] cmd[0xF004] args[0x02,0x42,0x02,0x03] data[0x]
16:23:19.008 | [Server]-&gt;[Tracer] METADATA =&gt; key[ecu:channel:canext:6-14-H-2:11-18:750-4D-758-4D:since] value[1758118999001 (2025-09-17 14:23:19.001)]
16:23:19.009 | [Remote]-&gt;[Local] TPCONF =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x3E7E] args[0x0750,0x0758,0x4D,0x4D] format[0x0200] data[0x]
16:23:19.598 | [Remote]-&gt;[Local] TPCONF =&gt; mod[ALL] [FRAMEWORK] cmd[0xF004] args[0x02,0x42,0x02,0x03] data[0x]
16:23:20.599 | [Remote]-&gt;[Local] TPCONF =&gt; mod[ALL] [FRAMEWORK] cmd[0xF004] args[0x02,0x42,0x02,0x03] data[0x]
16:23:21.600 | [Remote]-&gt;[Local] TPCONF =&gt; mod[ALL] [FRAMEWORK] cmd[0xF004] args[0x02,0x42,0x02,0x03] data[0x]
16:23:22.601 | [Remote]-&gt;[Local] TPCONF =&gt; mod[ALL] [FRAMEWORK] cmd[0xF004] args[0x02,0x42,0x02,0x03] data[0x]
16:23:22.773 | [Server]-&gt;[Tracer] METADATA =&gt; key[ecu:channel:canext:6-14-H-2:11-18:750-5F-758-5F:since] value[1758119002765 (2025-09-17 14:23:22.765)]
16:23:22.773 | [Remote]-&gt;[Local] TPCONF =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x3E7E] args[0x0750,0x0758,0x5F,0x5F] format[0x0200] data[0x]
16:23:23.602 | [Remote]-&gt;[Local] TPCONF =&gt; mod[ALL] [FRAMEWORK] cmd[0xF004] args[0x02,0x42,0x02,0x03] data[0x]
16:23:24.603 | [Remote]-&gt;[Local] TPCONF =&gt; mod[ALL] [FRAMEWORK] cmd[0xF004] args[0x02,0x42,0x02,0x03] data[0x]
16:23:25.604 | [Remote]-&gt;[Local] TPCONF =&gt; mod[ALL] [FRAMEWORK] cmd[0xF004] args[0x02,0x42,0x02,0x03] data[0x]
16:23:26.604 | [Remote]-&gt;[Local] TPCONF =&gt; mod[ALL] [FRAMEWORK] cmd[0xF004] args[0x02,0x42,0x02,0x03] data[0x]
16:23:27.606 | [Remote]-&gt;[Local] TPCONF =&gt; mod[ALL] [FRAMEWORK] cmd[0xF004] args[0x02,0x42,0x02,0x03] data[0x]
16:23:28.606 | [Remote]-&gt;[Local] TPCONF =&gt; mod[ALL] [FRAMEWORK] cmd[0xF004] args[0x02,0x42,0x02,0x03] data[0x]
16:23:29.608 | [Remote]-&gt;[Local] TPCONF =&gt; mod[ALL] [FRAMEWORK] cmd[0xF004] args[0x02,0x42,0x02,0x03] data[0x]
16:23:30.609 | [Remote]-&gt;[Local] TPCONF =&gt; mod[ALL] [FRAMEWORK] cmd[0xF004] args[0x02,0x42,0x02,0x03] data[0x]
16:23:31.610 | [Remote]-&gt;[Local] TPCONF =&gt; mod[ALL] [FRAMEWORK] cmd[0xF004] args[0x02,0x42,0x02,0x03] data[0x]
16:23:32.611 | [Remote]-&gt;[Local] TPCONF =&gt; mod[ALL] [FRAMEWORK] cmd[0xF004] args[0x02,0x42,0x02,0x03] data[0x]
16:23:33.611 | [Remote]-&gt;[Local] TPCONF =&gt; mod[ALL] [FRAMEWORK] cmd[0xF004] args[0x02,0x42,0x02,0x03] data[0x]
16:23:34.613 | [Remote]-&gt;[Local] TPCONF =&gt; mod[ALL] [FRAMEWORK] cmd[0xF004] args[0x02,0x42,0x02,0x03] data[0x]
16:23:35.613 | [Remote]-&gt;[Local] TPCONF =&gt; mod[ALL] [FRAMEWORK] cmd[0xF004] args[0x02,0x42,0x02,0x03] data[0x]
16:23:36.614 | [Remote]-&gt;[Local] TPCONF =&gt; mod[ALL] [FRAMEWORK] cmd[0xF004] args[0x02,0x42,0x02,0x03] data[0x]
16:23:37.616 | [Remote]-&gt;[Local] TPCONF =&gt; mod[ALL] [FRAMEWORK] cmd[0xF004] args[0x02,0x42,0x02,0x03] data[0x]
16:23:38.617 | [Remote]-&gt;[Local] TPCONF =&gt; mod[ALL] [FRAMEWORK] cmd[0xF004] args[0x02,0x42,0x02,0x03] data[0x]
16:23:39.490 | [Server]-&gt;[Tracer] METADATA =&gt; key[ecu:channel:canext:6-14-H-2:11-18:750-B0-758-B0:since] value[1758119019482 (2025-09-17 14:23:39.482)]
16:23:39.491 | [Remote]-&gt;[Local] TPCONF =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x3E7E] args[0x0750,0x0758,0xB0,0xB0] format[0x0200] data[0x]
16:23:39.617 | [Remote]-&gt;[Local] TPCONF =&gt; mod[ALL] [FRAMEWORK] cmd[0xF004] args[0x02,0x42,0x02,0x03] data[0x]
16:23:40.619 | [Remote]-&gt;[Local] TPCONF =&gt; mod[ALL] [FRAMEWORK] cmd[0xF004] args[0x02,0x42,0x02,0x03] data[0x]
16:23:41.620 | [Remote]-&gt;[Local] TPCONF =&gt; mod[ALL] [FRAMEWORK] cmd[0xF004] args[0x02,0x42,0x02,0x03] data[0x]
16:23:42.620 | [Remote]-&gt;[Local] TPCONF =&gt; mod[ALL] [FRAMEWORK] cmd[0xF004] args[0x02,0x42,0x02,0x03] data[0x]
16:23:43.621 | [Remote]-&gt;[Local] TPCONF =&gt; mod[ALL] [FRAMEWORK] cmd[0xF004] args[0x02,0x42,0x02,0x03] data[0x]
16:23:43.984 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x4100] args[0x0700,0x07,0x00,0x00] data[0x023E000000000000]
16:23:44.168 | [Server]-&gt;[Tracer] METADATA =&gt; key[ecu:channel:canext:6-14-H-2:11-18:750-C7-758-C7:since] value[1758119024160 (2025-09-17 14:23:44.160)]
16:23:44.169 | [Remote]-&gt;[Local] TPCONF =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x3E7E] args[0x0750,0x0758,0xC7,0xC7] format[0x0200] data[0x]
16:23:44.649 | [Remote]-&gt;[Local] TPCONF =&gt; mod[ALL] [FRAMEWORK] cmd[0xF004] args[0x02,0x42,0x02,0x03] data[0x]
16:23:45.529 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [EOBD] cmd[0x4000] args[0x07DF,0x00,0x00,0x00] data[0x0209020000000000]
16:23:45.623 | [Remote]-&gt;[Local] TPCONF =&gt; mod[ALL] [FRAMEWORK] cmd[0xF004] args[0x02,0x42,0x02,0x03] data[0x]
16:23:46.572 | [Server]-&gt;[Tracer] METADATA =&gt; key[ecu:channel:canext:6-14-H-2:11-18:750-D3-758-D3:since] value[1758119026565 (2025-09-17 14:23:46.565)]
16:23:46.573 | [Remote]-&gt;[Local] TPCONF =&gt; mod[CAN2] [TOYOTA ISOTP] cmd[0x3E7E] args[0x0750,0x0758,0xD3,0xD3] format[0x0200] data[0x]
16:23:46.624 | [Remote]-&gt;[Local] TPCONF =&gt; mod[ALL] [FRAMEWORK] cmd[0xF004] args[0x02,0x42,0x02,0x03] data[0x]
16:23:47.628 | [Remote]-&gt;[Local] TPCONF =&gt; mod[ALL] [FRAMEWORK] cmd[0xF004] args[0x02,0x42,0x02,0x03] data[0x]
16:23:48.626 | [Remote]-&gt;[Local] TPCONF =&gt; mod[ALL] [FRAMEWORK] cmd[0xF004] args[0x02,0x42,0x02,0x03] data[0x]
